"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2689","block","org.apache.hadoop.fs.HdfsBlockLocation.block;Lorg/apache/hadoop/hdfs/protocol/LocatedBlock;","L2687","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\fs\HdfsBlockLocation.java","35","3","35","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2700","id","org.apache.hadoop.fs.HdfsVolumeId.id;[B","L2698","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\fs\HdfsVolumeId.java","37","3","37","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2730","INVALID_VOLUME_ID","org.apache.hadoop.fs.VolumeId.INVALID_VOLUME_ID;Lorg/apache/hadoop/fs/VolumeId;","L2417","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\fs\VolumeId.java","34","3","71","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2753","LOG","org.apache.hadoop.fs.TestFiListPath.LOG;LLog;","L2750","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiListPath.java","48","3","48","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2756","LIST_LIMIT","org.apache.hadoop.fs.TestFiListPath.LIST_LIMIT;I","L2750","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiListPath.java","49","3","49","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2757","cluster","org.apache.hadoop.fs.TestFiListPath.cluster;Lorg/apache/hadoop/hdfs/MiniDFSCluster;","L2750","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiListPath.java","51","3","51","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2761","fs","org.apache.hadoop.fs.TestFiListPath.fs;LFileSystem;","L2750","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiListPath.java","52","3","52","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2762","TEST_PATH","org.apache.hadoop.fs.TestFiListPath.TEST_PATH;LPath;","L2750","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiListPath.java","53","3","53","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2799","LOG","org.apache.hadoop.fs.TestFiRename.LOG;LLog;","L2796","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiRename.java","54","3","54","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2802","removeChild","org.apache.hadoop.fs.TestFiRename.removeChild;Ljava/lang/String;","L2796","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiRename.java","55","3","55","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2803","addChild","org.apache.hadoop.fs.TestFiRename.addChild;Ljava/lang/String;","L2796","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiRename.java","56","3","56","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2804","data","org.apache.hadoop.fs.TestFiRename.data;[B","L2796","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiRename.java","57","3","57","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2805","TEST_ROOT_DIR","org.apache.hadoop.fs.TestFiRename.TEST_ROOT_DIR;Ljava/lang/String;","L2796","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiRename.java","59","3","60","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2806","CONF","org.apache.hadoop.fs.TestFiRename.CONF;LConfiguration;","L2796","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiRename.java","62","3","62","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2809","cluster","org.apache.hadoop.fs.TestFiRename.cluster;Lorg/apache/hadoop/hdfs/MiniDFSCluster;","L2796","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiRename.java","67","3","67","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2810","fc","org.apache.hadoop.fs.TestFiRename.fc;LFileContext;","L2796","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fs\TestFiRename.java","68","3","68","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2988","cluster","org.apache.hadoop.fs.TestFcHdfsCreateMkdir.cluster;Lorg/apache/hadoop/hdfs/MiniDFSCluster;","L2986","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsCreateMkdir.java","38","3","38","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2989","defaultWorkingDirectory","org.apache.hadoop.fs.TestFcHdfsCreateMkdir.defaultWorkingDirectory;LPath;","L2986","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsCreateMkdir.java","39","3","39","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3002","fileContextTestHelper","org.apache.hadoop.fs.TestFcHdfsPermission.fileContextTestHelper;LFileContextTestHelper;","L3000","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsPermission.java","38","3","39","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3003","fc","org.apache.hadoop.fs.TestFcHdfsPermission.fc;LFileContext;","L3000","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsPermission.java","40","3","40","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3004","cluster","org.apache.hadoop.fs.TestFcHdfsPermission.cluster;Lorg/apache/hadoop/hdfs/MiniDFSCluster;","L3000","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsPermission.java","42","3","42","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3005","defaultWorkingDirectory","org.apache.hadoop.fs.TestFcHdfsPermission.defaultWorkingDirectory;LPath;","L3000","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsPermission.java","43","3","43","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3018","fileContextTestHelper","org.apache.hadoop.fs.TestFcHdfsSetUMask.fileContextTestHelper;LFileContextTestHelper;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","45","3","46","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3019","cluster","org.apache.hadoop.fs.TestFcHdfsSetUMask.cluster;Lorg/apache/hadoop/hdfs/MiniDFSCluster;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","47","3","47","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3020","defaultWorkingDirectory","org.apache.hadoop.fs.TestFcHdfsSetUMask.defaultWorkingDirectory;LPath;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","48","3","48","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3021","fc","org.apache.hadoop.fs.TestFcHdfsSetUMask.fc;LFileContext;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","49","3","49","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3022","USER_GROUP_OPEN_PERMISSIONS","org.apache.hadoop.fs.TestFcHdfsSetUMask.USER_GROUP_OPEN_PERMISSIONS;LFsPermission;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","52","3","53","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3024","USER_GROUP_OPEN_FILE_PERMISSIONS","org.apache.hadoop.fs.TestFcHdfsSetUMask.USER_GROUP_OPEN_FILE_PERMISSIONS;LFsPermission;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","55","3","56","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3025","USER_GROUP_OPEN_TEST_UMASK","org.apache.hadoop.fs.TestFcHdfsSetUMask.USER_GROUP_OPEN_TEST_UMASK;LFsPermission;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","58","3","59","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3026","BLANK_PERMISSIONS","org.apache.hadoop.fs.TestFcHdfsSetUMask.BLANK_PERMISSIONS;LFsPermission;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","62","3","63","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3028","PARENT_PERMS_FOR_BLANK_PERMISSIONS","org.apache.hadoop.fs.TestFcHdfsSetUMask.PARENT_PERMS_FOR_BLANK_PERMISSIONS;LFsPermission;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","68","3","69","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3032","BLANK_TEST_UMASK","org.apache.hadoop.fs.TestFcHdfsSetUMask.BLANK_TEST_UMASK;LFsPermission;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","71","3","72","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3033","WIDE_OPEN_PERMISSIONS","org.apache.hadoop.fs.TestFcHdfsSetUMask.WIDE_OPEN_PERMISSIONS;LFsPermission;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","75","3","76","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3035","WIDE_OPEN_FILE_PERMISSIONS","org.apache.hadoop.fs.TestFcHdfsSetUMask.WIDE_OPEN_FILE_PERMISSIONS;LFsPermission;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","78","3","79","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3036","WIDE_OPEN_TEST_UMASK","org.apache.hadoop.fs.TestFcHdfsSetUMask.WIDE_OPEN_TEST_UMASK;LFsPermission;","L3016","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestFcHdfsSetUMask.java","81","3","82","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3096","dfsCluster","org.apache.hadoop.fs.TestGlobPaths.dfsCluster;Lorg/apache/hadoop/hdfs/MiniDFSCluster;","L3087","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestGlobPaths.java","47","3","47","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3097","fs","org.apache.hadoop.fs.TestGlobPaths.fs;LFileSystem;","L3087","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestGlobPaths.java","48","3","48","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3098","NUM_OF_PATHS","org.apache.hadoop.fs.TestGlobPaths.NUM_OF_PATHS;I","L3087","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestGlobPaths.java","49","3","49","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3099","USER_DIR","org.apache.hadoop.fs.TestGlobPaths.USER_DIR;Ljava/lang/String;","L3087","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestGlobPaths.java","50","3","50","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3100","path","org.apache.hadoop.fs.TestGlobPaths.path;[LPath;","L3087","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestGlobPaths.java","51","3","51","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3161","cluster","org.apache.hadoop.fs.TestHDFSFileContextMainOperations.cluster;Lorg/apache/hadoop/hdfs/MiniDFSCluster;","L3159","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestHDFSFileContextMainOperations.java","44","3","44","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3162","defaultWorkingDirectory","org.apache.hadoop.fs.TestHDFSFileContextMainOperations.defaultWorkingDirectory;LPath;","L3159","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestHDFSFileContextMainOperations.java","45","3","45","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3163","CONF","org.apache.hadoop.fs.TestHDFSFileContextMainOperations.CONF;Lorg/apache/hadoop/hdfs/HdfsConfiguration;","L3159","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestHDFSFileContextMainOperations.java","46","3","46","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3213","LOG","org.apache.hadoop.fs.TestHdfsNativeCodeLoader.LOG;LLog;","L3211","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestHdfsNativeCodeLoader.java","29","3","29","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3229","cluster","org.apache.hadoop.fs.TestResolveHdfsSymlink.cluster;Lorg/apache/hadoop/hdfs/MiniDFSCluster;","L3226","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestResolveHdfsSymlink.java","51","3","51","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3266","cluster","org.apache.hadoop.fs.TestSymlinkHdfs.cluster;Lorg/apache/hadoop/hdfs/MiniDFSCluster;","L3260","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestSymlinkHdfs.java","54","3","54","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3267","webhdfs","org.apache.hadoop.fs.TestSymlinkHdfs.webhdfs;Lorg/apache/hadoop/hdfs/web/WebHdfsFileSystem;","L3260","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\fs\TestSymlinkHdfs.java","55","3","55","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
